Tabla 2,303-02-01-02-01-,TRANSPORTE,5514396.71,,,,2454691.4,,
Tabla 2,303-02-01-02-01-01,FACULTATIVO,5514396.71,,,,2454691.4,,
Tabla 2,303-02-01-03-,INCENDIO,34012239.53,,,,7174799.53,,
Tabla 2,303-02-01-03-01-,INCENDIO,34012239.53,,,,7174799.53,,
Tabla 2,303-02-01-03-01-01,FACULTATIVO,34012239.53,,,,7174799.53,,
Tabla 2,303-02-01-04-,ACCIDENTES Y DIVERSOS,10927686.98,,,,1234804.12,,
Tabla 2,303-02-01-04-01-,ACCIDENTES Y DIVERSOS,10927686.98,,,,1234804.12,,
Tabla 2,303-02-01-04-01-01,FACULTATIVO,10927686.98,,,,1234804.12,,
Tabla 2,303-02-01-05-,FIANZAS.,447494.2,,,,,,
Tabla 2,303-02-01-05-01-,FIANZAS.,447494.2,,,,,,
Tabla 2,303-02-01-05-01-01,FACULTATIVO,447494.2,,,,,,
Tabla 2,304-,RESERVAS DE PRIMAS,3023500.45,,,,28748151.47,,30867163.62
Tabla 2,304-01-,NEGOCIOS NACIONALES,3023500.45,,,,28748151.47,,30867163.62
Tabla 2,304-01-02-,TRANSPORTE,1085796.5,,,,1705106.77,,2643135.76
Tabla 2,304-01-02-01-,TRANSPORTE,1085796.5,,,,1705106.77,,2643135.76
Tabla 2,304-01-02-01-01-,TRANSPORTE,1085796.5,,,,1705106.77,,2643135.76
Tabla 2,304-01-02-01-01-01,FACULTATIVO,477816.33,,,,428716.8,,882064.28
Tabla 2,304-01-02-01-01-03,CONTRATO,607980.17,,,,1276389.97,,1761071.48
Tabla 2,304-01-03-,INCENDIO,361321.88,,,,21359128.51,,21196593.53
Tabla 2,304-01-03-01-,INCENDIO,361321.88,,,,21359128.51,,21196593.53
Tabla 2,304-01-03-01-01-,INCENDIO,361321.88,,,,21359128.51,,21196593.53
Tabla 2,304-01-03-01-01-01,FACULTATIVO,2233.59,,,,20840637.06,,20352406.35
Tabla 2,304-01-03-01-01-03,CONTRATO,359088.29,,,,518491.45,,844187.18
Tabla 2,304-01-04-,ACCIDENTES Y DIVERSOS,1185032.53,,,,5332121.16,,6285095.98
Tabla 2,304-01-04-01-,ACCIDENTES Y DIVERSOS,1185032.53,,,,5332121.16,,6285095.98
Tabla 2,304-01-04-01-01-,ACCIDENTES Y DIVERSOS,1185032.53,,,,5332121.16,,6285095.98
Tabla 2,117.78,,,,,,3807128.38,,3706230.45
Tabla 2,Código,Descripción,Saldo Inicial,,Debitos,,,,Créditos
Tabla 2,304-01-04-01-01-01,FACULTATIVO,117.78,,3807128.38,,,,3706230.45
Tabla 2,304-01-04-01-01-03,CONTRATO,590854.39,,656277.01,,,,1184948.49
Tabla 2,304-01-04-01-01-04,CONTRATO NO PROPORCIONAL,594060.36,,868715.77,,,,1393917.04
Tabla 2,304-01-05-,FIANZAS,391349.54,,351795.03,,,,742338.35
Tabla 2,304-01-05-01-,FIANZAS,391349.54,,351795.03,,,,742338.35
Tabla 2,304-01-05-01-01-,FIANZAS,391349.54,,351795.03,,,,742338.35
Tabla 2,304-01-05-01-01-01,FACULTATIVO,378729.72,,343571.56,,,,722301.28
Tabla 2,304-01-05-01-01-03,CONTRATO,12619.82,,8223.47,,,,20037.07
Tabla 2,305-,RESERVAS PARA PRESTACIONES Y SINIESTROS PENDIENT,6052.3,,805697.79,,,,746634.14
Tabla 2,305-01-,NEGOCIOS NACIONALES,6052.3,,805697.79,,,,746634.14
Tabla 2,305-01-03-,INCENDIO,6052.3,,796330.69,,,,737454.4
Tabla 2,305-01-03-01-,INCENDIO,6052.3,,796330.69,,,,737454.4
Tabla 2,305-01-03-01-01-,INCENDIO,6052.3,,796330.69,,,,737454.4
Tabla 2,305-01-03-01-01-01,FACULTATIVO,6052.3,,796330.69,,,,737454.4
Tabla 2,305-01-04-,ACCIDENTES Y DIVERSOS,,,9367.1,,,,9179.74
Tabla 2,305-01-04-01-,ACCIDENTES Y DIVERSOS,,,9367.1,,,,9179.74
Tabla 2,305-01-04-01-01-,ACCIDENTES Y DIVERSOS,,,9367.1,,,,9179.74
Tabla 2,305-01-04-01-01-01,FACULTATIVO,,,9367.1,,,,9179.74
Tabla 2,308-,RESERVAS PARA SINIESTROS OCURRIDOS Y NO NOTIFICA,252.11,,1701.37,,,,
Tabla 2,308-01-,NEGOCIOS NACIONALES.,252.11,,1701.37,,,,
Tabla 2,308-01-03-,INCENDIO,252.11,,1701.37,,,,
Tabla 2,308-01-03-01-,INCENDIO,252.11,,1701.37,,,,
Tabla 2,308-01-03-01-01-,INCENDIO,252.11,,1701.37,,,,
Tabla 2,308-01-03-01-01-01,FACULTATIVO,252.11,,1701.37,,,,
Tabla 2,309-,RESERVAS PARA RIESGOS CATASTRÓFICOS,16872.88,,12057.33,,,,
Tabla 2,309-07-,OTROS RIESGOS CATASTRÓFICOS,16872.88,,12057.33,,,,
Tabla 2,309-07-01-,OTROS RIESGOS CATASTRÓFICOS,16872.88,,12057.33,,,,
Tabla 2,309-07-01-01-,OTROS RIESGOS CATASTRÓFICOS,16872.88,,12057.33,,,,
Tabla 2,309-07-01-01-01-,OTROS RIESGOS CATASTRÓFICOS,16872.88,,12057.33,,,,
Tabla 2,309-07-01-01-01-01,OTROS RIESGOS CATASTRÓFICOS,16872.88,,12057.33,,,,
Tabla 2,311-,EGRESOS FINANCIEROS,266674.42,,9775.41,,,,
Tabla 2,311-01-,INTERESES PAGADOS,163863.37,,,,,,
Tabla 2,311-01-03-,OBLIGACIONES DOCUMENTADAS,163863.37,,,,,,
Tabla 2,311-01-03-01-,OBLIGACIONES DOCUMENTADAS,163863.37,,,,,,
Tabla 2,311-01-03-01-01-,OBLIGACIONES DOCUMENTADAS,163863.37,,,,,,
Tabla 2,311-01-03-01-01-01,OBLIGACIONES DOCUMENTADAS,163863.37,,,,,,
Tabla 2,311-02-,COMISIONES PAGADAS,102811.05,,9775.41,,,,
Tabla 2,311-02-04-,OPERACIONES BANCARIAS,102811.05,,9775.41,,,,
Tabla 2,311-02-04-01-,OPERACIONES BANCARIAS,102811.05,,9775.41,,,,
Tabla 2,311-02-04-01-01-,OPERACIONES BANCARIAS,102811.05,,9775.41,,,,
Tabla 2,311-02-04-01-01-01,COMISIONES BANCARIAS,102811.05,,9775.41,,,,
Tabla 2,312-,AJUSTE DE VALORES Y OTROS ACTIVOS,127293.01,,28391.59,,,,
Tabla 2,312-02-,AJUSTE DE ACTIVOS DEPRECIABLES,127293.01,,28391.59,,,,
Tabla 2,312-02-01-,PREDIOS URBANOS EDIFICADOS,3863.1,,643.85,,,,
Tabla 2,312-02-01-01-,PREDIOS URBANOS EDIFICADOS,3863.1,,643.85,,,,
Tabla 2,312-02-01-01-01-,PREDIOS URBANOS EDIFICADOS,3863.1,,643.85,,,,
Tabla 2,312-02-01-01-01-01,PREDIOS URBANOS EDIFICADOS,3863.1,,643.85,,,,
Tabla 2,312-02-03-,MOBILIARIO,2181.62,,1090.81,,,,
Tabla 2,312-02-03-01-,MOBILIARIO,2181.62,,1090.81,,,,
Tabla 2,312-02-03-01-01-,MOBILIARIO,2181.62,,1090.81,,,,
Tabla 2,312-02-03-01-01-01,MOBILIARIO,2181.62,,1090.81,,,,
Tabla 2,312-02-04-,EQUIPO DE OFICINA,2702.58,,581.91,,,,
Tabla 2,Código,Descripción,Saldo Inicial,,,,Debitos,,Créditos
Tabla 2,312-02-04-01-,EQUIPO DE OFICINA,2702.58,,,,581.91,,
Tabla 2,312-02-04-01-01-,EQUIPO DE OFICINA,2702.58,,,,581.91,,
Tabla 2,312-02-04-01-01-01,EQUIPO DE OFICINA,2702.58,,,,581.91,,
Tabla 2,312-02-05-,EQUIPOS DE COMPUTACION,118545.71,,,,26075.02,,
Tabla 2,312-02-05-01-,EQUIPOS DE COMPUTACION,118545.71,,,,26075.02,,
Tabla 2,312-02-05-01-01-,EQUIPOS DE COMPUTACION,118545.71,,,,26075.02,,
Tabla 2,312-02-05-01-01-01,EQUIPOS DE COMPUTACION,118545.71,,,,26075.02,,
Tabla 2,315-,GASTOS DE ADMINISTRACION,8739447.81,,,,4651931.15,,395669.5
Tabla 2,315-01-,REMUNERACIONES,439245.32,,,,111438.5,,19820.47
Tabla 2,315-01-01-,REMUNERACIONES,439245.32,,,,111438.5,,19820.47
Tabla 2,315-01-01-01-,REMUNERACIONES,439245.32,,,,111438.5,,19820.47
Tabla 2,315-01-01-01-01-,REMUNERACIONES,439245.32,,,,111438.5,,19820.47
Tabla 2,315-01-01-01-01-01,SUELDOS,439245.32,,,,111438.5,,19820.47
Tabla 2,315-02-,PRESTACIONES LEGALES,491277.57,,,,468620.11,,282916.83
Tabla 2,315-02-01-,PRESTACIONES LEGALES,491277.57,,,,468620.11,,282916.83
Tabla 2,315-02-01-01-,PRESTACIONES LEGALES,491277.57,,,,468620.11,,282916.83
Tabla 2,315-02-01-01-01-,PRESTACIONES LEGALES,491277.57,,,,468620.11,,282916.83
Tabla 2,315-02-01-01-01-01,PRESTACIONES SOCIALES,191384.35,,,,393068.3,,282916.83
Tabla 2,315-02-01-01-01-02,INTERESES  S/PRESTACIONES SOCIALES,42852.25,,,,9009.81,,
Tabla 2,315-02-01-01-01-03,VACACIONES,77720.67,,,,32364,,
Tabla 2,315-02-01-01-01-04,UTILIDADES LEGALES,179320.3,,,,34178,,
Tabla 2,315-03-,OTRAS PRESTACIONES,825102.63,,,,129496.77,,27301.72
Tabla 2,315-03-01-,OTRAS PRESTACIONES,825102.63,,,,129496.77,,27301.72
Tabla 2,315-03-01-01-,OTRAS PRESTACIONES,825102.63,,,,129496.77,,27301.72
Tabla 2,315-03-01-01-01-,OTRAS PRESTACIONES,825102.63,,,,129496.77,,27301.72
Tabla 2,315-03-01-01-01-01,BONO VACACIONAL,59370.31,,,,16750.87,,
Tabla 2,315-03-01-01-01-03,SEGURO DEL PERSONAL,765732.32,,,,112745.9,,27301.72
Tabla 2,315-04-,OTROS GASTOS DE PERSONAL,803484.24,,,,193716.56,,2861
Tabla 2,315-04-01-,OTROS GASTOS DE PERSONAL,803484.24,,,,193716.56,,2861
Tabla 2,315-04-01-01-,OTROS GASTOS DE PERSONAL,803484.24,,,,193716.56,,2861
Tabla 2,315-04-01-01-01-,OTROS GASTOS DE PERSONAL,803484.24,,,,193716.56,,2861
Tabla 2,315-04-01-01-01-03,COLABORACIÓN ESCOLAR,290015.76,,,,61780.93,,
Tabla 2,315-04-01-01-01-04,BONO ALIMENTACION,279673,,,,67112,,2861
Tabla 2,315-04-01-01-01-09,BONO DE TRANSPORTE,113059.25,,,,26235,,
Tabla 2,315-04-01-01-01-10,BONO POR RENTA Y CONEXIÓN,115130.4,,,,26235,,
Tabla 2,315-04-01-01-01-11,GIMNASIO,5605.83,,,,12353.63,,
Tabla 2,315-05-,CONTRIBUCIONES,159808.94,,,,32272.99,,126
Tabla 2,315-05-01-,CONTRIBUCIONES,159808.94,,,,32272.99,,126
Tabla 2,315-05-01-01-,CONTRIBUCIONES,159808.94,,,,32272.99,,126
Tabla 2,315-05-01-01-01-,CONTRIBUCIONES,159808.94,,,,32272.99,,126
Tabla 2,315-05-01-01-01-01,IVSS APORTE PATRONAL,7857,,,,1107,,81
Tabla 2,315-05-01-01-01-02,SEGURO PARO FORZOSO APORTE PATRONAL,3492,,,,492,,45
Tabla 2,315-05-01-01-01-03,FONDO DE AHORRO OBLIGATORIO APORTE PATRONAL,8560.83,,,,1738.53,,
Tabla 2,315-05-01-01-01-05,INCE,10472.2,,,,2698.17,,
Tabla 2,315-05-01-01-01-06,LEY DE PROTECCIÓN DE PENSIONES,129426.91,,,,26237.29,,
Tabla 2,315-06-,REPARACIONES ORDINARIAS Y MANTENIMIENTO,935738.31,,,,177864.86,,3655.95
Tabla 2,315-06-01-,REPARACIONES ORDINARIAS Y MANTENIMIENTO,935738.31,,,,177864.86,,3655.95
Tabla 2,315-06-01-01-,REPARACIONES ORDINARIAS Y MANTENIMIENTO,935738.31,,,,177864.86,,3655.95
Tabla 2,315-06-01-01-01-,REPARACIONES ORDINARIAS Y MANTENIMIENTO,935738.31,,,,177864.86,,3655.95
Tabla 2,315-06-01-01-01-01,MOBILIARIO,,,,,3655.95,,3655.95
Tabla 2,315-06-01-01-01-02,VEHICULOS,29529.83,,,,20986.83,,
Tabla 2,315-06-01-01-01-03,EQUIPOS DE COMPUTACION,792932.35,,,,149566.13,,
Tabla 3,113276.13,,,,3655.95,,,,
Tabla 3,Código,Descripción,Saldo Inicial,Debitos,,Créditos,,Saldo Actual,
Tabla 3,315-06-01-01-01-04,INSTALACIONES,113276.13,3655.95,,,,116932.08,
Tabla 3,315-07-,PRIMAS DE SEGUROS (RIESGOS PROPIOS),3686.94,614.49,,,,4301.43,
Tabla 3,315-07-01-,PRIMAS DE SEGUROS (RIESGOS PROPIOS),3686.94,614.49,,,,4301.43,
Tabla 3,315-07-01-01-,PRIMAS DE SEGUROS (RIESGOS PROPIOS),3686.94,614.49,,,,4301.43,
Tabla 3,315-07-01-01-01-,PRIMAS DE SEGUROS (RIESGOS PROPIOS),3686.94,614.49,,,,4301.43,
Tabla 3,315-07-01-01-01-01,PRIMAS DE SEGUROS (RIESGOS PROPIOS),3686.94,614.49,,,,4301.43,
Tabla 3,315-09-,PUBLICIDAD E IMAGEN,25317,117930.24,,58965.12,,84282.12,
Tabla 3,315-09-01-,PUBLICIDAD E IMAGEN,25317,117930.24,,58965.12,,84282.12,
Tabla 3,315-09-01-01-,PUBLICIDAD E IMAGEN,25317,117930.24,,58965.12,,84282.12,
Tabla 3,315-09-01-01-01-,PUBLICIDAD E IMAGEN,25317,117930.24,,58965.12,,84282.12,
Tabla 3,315-09-01-01-01-01,PUBLICIDAD E IMAGEN,25317,58965.12,,,,84282.12,
Tabla 3,315-09-01-01-01-02,PUBLICACION EN PRENSA,,58965.12,,58965.12,,,
Tabla 3,315-10-,SERVICIOS BÁSICOS,181647.37,43192.72,,,,224840.09,
Tabla 3,315-10-01-,SERVICIOS BÁSICOS,181647.37,43192.72,,,,224840.09,
Tabla 3,315-10-01-01-,SERVICIOS BÁSICOS,181647.37,43192.72,,,,224840.09,
Tabla 3,315-10-01-01-01-,SERVICIOS BÁSICOS,181647.37,43192.72,,,,224840.09,
Tabla 3,315-10-01-01-01-01,ENERGIA ELECTRICA,27150.49,8057.08,,,,35207.57,
Tabla 3,315-10-01-01-01-02,TELEFONO E INTERNET,121137.21,27635.1,,,,148772.31,
Tabla 3,315-10-01-01-01-05,SERVICIO DE ASEO,33359.67,7500.54,,,,40860.21,
Tabla 3,315-11-,ALQUILERES,909705.4,210292.97,,,,1119998.37,
Tabla 3,315-11-01-,ALQUILERES,909705.4,210292.97,,,,1119998.37,
Tabla 3,315-11-01-01-,ALQUILERES,909705.4,210292.97,,,,1119998.37,
Tabla 3,315-11-01-01-01-,ALQUILERES,909705.4,210292.97,,,,1119998.37,
Tabla 3,315-11-01-01-01-01,ALQUILER OFICINA,909705.4,210292.97,,,,1119998.37,
Tabla 3,315-12-,RELACIONES,784409.85,126745.03,,22.41,,911132.47,
Tabla 3,315-12-01-,RELACIONES,784409.85,126745.03,,22.41,,911132.47,
Tabla 3,315-12-01-01-,RELACIONES,784409.85,126745.03,,22.41,,911132.47,
Tabla 3,315-12-01-01-01-,RELACIONES,784409.85,126745.03,,22.41,,911132.47,
Tabla 3,315-12-01-01-01-01,RELACIONES PÚBLICAS,133634.73,12268,,,,145902.73,
Tabla 3,315-12-01-01-01-02,RELACIONES INDUSTRIALES,342570.65,61232.69,,22.41,,403780.93,
Tabla 3,315-12-01-01-01-03,ASOCIACIONES,308204.47,53244.34,,,,361448.81,
Tabla 3,315-13-,SERVICIOS PROFESIONALES,825034.66,2856412.15,,,,3681446.81,
Tabla 3,315-13-01-,SERVICIOS PROFESIONALES,825034.66,2856412.15,,,,3681446.81,
Tabla 3,315-13-01-01-,SERVICIOS PROFESIONALES,825034.66,2856412.15,,,,3681446.81,
Tabla 3,315-13-01-01-01-,SERVICIOS PROFESIONALES,825034.66,2856412.15,,,,3681446.81,
Tabla 3,315-13-01-01-01-02,ASESORIA FINANCIERA,825034.66,2856412.15,,,,3681446.81,
Tabla 3,315-16-,OTROS GASTOS GENERALES,2316582.43,181907.54,,,,2498489.97,
Tabla 3,315-16-01-,OTROS GASTOS GENERALES,2316582.43,181907.54,,,,2498489.97,
Tabla 3,315-16-01-01-,OTROS GASTOS GENERALES,2316582.43,181907.54,,,,2498489.97,
Tabla 3,315-16-01-01-01-,OTROS GASTOS GENERALES,2316582.43,181907.54,,,,2498489.97,
Tabla 3,315-16-01-01-01-01,ARTICULOS DE OFICINA,13555.22,,,,,13555.22,
Tabla 3,315-16-01-01-01-03,GASTOS LEGALES,1577531.46,56714.06,,,,1634245.52,
Tabla 3,315-16-01-01-01-06,ADIESTRAMIENTO Y CAPACITACIONES,62791.65,,,,,62791.65,
Tabla 3,315-16-01-01-01-08,ARTICULOS DE ASEO Y LIMPIEZA,31869.68,10666.91,,,,42536.59,
Tabla 3,315-16-01-01-01-09,GASTOS MISCELANEOS,139268.28,14156.8,,,,153425.08,
Tabla 3,315-16-01-01-01-10,ESTACIONAMIENTO,18449.43,5777.31,,,,24226.74,
Tabla 3,315-16-01-01-01-11,CONDOMINIO,231159.49,55319.84,,,,286479.33,
Tabla 3,315-16-01-01-01-12,FLETES Y TRANSPORTES,3475.51,,,,,3475.51,
Tabla 3,315-16-01-01-01-13,TRASLADOS,51509.41,4894.18,,,,56403.59,
Tabla 3,315-16-01-01-01-14,DIETAS A DIRECTIVOS,186972.3,34378.44,,,,221350.74,
Tabla 3,315-17-,GASTOS NO DEDUCIBLES,38407.15,1426.22,,,,39833.37,
Tabla 3,315-17-01-,GASTOS NO DEDUCIBLES,38407.15,1426.22,,,,39833.37,
Tabla 3,315-17-01-01-,GASTOS NO DEDUCIBLES,38407.15,1426.22,,,,39833.37,
Tabla 3,315-17-01-01-01-,GASTOS NO DEDUCIBLES,38407.15,1426.22,,,,39833.37,
Tabla 3,315-17-01-01-01-02,I.G.T.F.,34850.35,1426.22,,,,36276.57,
Tabla 3,315-17-01-01-01-03,MULTAS,3556.8,,,,,3556.8,
Tabla 3,316-,AJUSTES DE RESERVAS DE PROVISION,594960.08,245715.29,,,,840675.37,
Tabla 3,316-01-,IMPUESTOS Y CONTRIBUCIONES POR PAGAR,594960.08,245715.29,,,,840675.37,
Tabla 3,316-01-01-,IMPUESTOS,404071.59,176666.25,,,,580737.84,
Tabla 3,316-01-01-06-,IMPUESTOS MUNICIPALES,404071.59,176666.25,,,,580737.84,
Tabla 3,316-01-01-06-01-,IMPUESTOS MUNICIPALES,404071.59,176666.25,,,,580737.84,
Tabla 3,316-01-01-06-01-01,IMPUESTOS MUNICIPALES,404071.59,176666.25,,,,580737.84,
Tabla 3,316-01-02-,CONTRIBUCIONES,190888.49,69049.04,,,,259937.53,
Tabla 3,316-01-02-10-,LEY ORGANICA DE CIENCIAS Y TECNOLOGÍA E INFORMACI,190888.49,69049.04,,,,259937.53,
Tabla 3,316-01-02-10-01-,LEY ORGANICA DE CIENCIAS Y TECNOLOGÍA E INFORMAC,190888.49,69049.04,,,,259937.53,
Tabla 3,316-01-02-10-01-01,LEY ORGANICA DE CIENCIAS Y TECNOLOGÍA E INFORMAC,190888.49,69049.04,,,,259937.53,
Tabla 3,317-,OTROS EGRESOS,28046646.13,10712386.88,,3836095.3,,34922937.71,
Tabla 3,317-01-,DIFERENCIAS EN CAMBIO,27693303.91,10545128.57,,3675474.5,,34562957.98,
Tabla 3,317-01-01-,SOBRE OPERACIONES TECNICAS,23183895.5,9769864.3,,3671522.28,,29282237.52,
Tabla 3,317-01-01-01-,RESERVAS TÉCNICAS,6878120.72,6116114.17,,3671522.28,,9322712.61,
Tabla 3,317-01-01-01-01-,RESERVAS MATEMÁTICAS,,3552522.19,,3552522.19,,,
Tabla 3,317-01-01-01-01-01,DIFERENCIAL CAMBIARIO TÉCNICO,,2629742.55,,2629742.55,,,
Tabla 3,317-01-01-01-01-03,DIFERENCIAL CAMBIARIO TÉCNICO,,922779.64,,922779.64,,,
Tabla 3,317-01-01-01-02-,RESERVAS PARA RIESGOS EN CURSO,6316821.9,2555589.89,,,,8872411.79,
Tabla 3,317-01-01-01-02-01,NEGOCIOS NACIONALES,6316821.9,2555589.89,,,,8872411.79,
Tabla 3,317-01-01-01-03-,RESERVA PARA SINIESTROS PENDIENTES,545752.58,,,119000.09,,426752.49,
Tabla 3,317-01-01-01-03-01,NEGOCIOS NACIONALES,545752.58,,,119000.09,,426752.49,
Tabla 3,317-01-01-01-04-,RESERVAS PARA SINIESTROS NO NOTIFICADOS,30.51,568,,,,598.51,
Tabla 3,317-01-01-01-04-01,NEGOCIOS NACIONALES,30.51,568,,,,598.51,
Tabla 3,317-01-01-01-05-,RESERVAS PARA RIESGOS CATASTRÓFICOS,15515.73,7434.09,,,,22949.82,
Tabla 3,317-01-01-01-05-01,NEGOCIOS NACIONALES,15515.73,7434.09,,,,22949.82,
Tabla 3,317-01-01-03-,OTRAS OPERACIONES TÉCNICAS,16305774.78,3653750.13,,,,19959524.91,
Tabla 3,317-01-01-03-01-,NEGOCIOS NACIONALES,16305774.78,3653750.13,,,,19959524.91,
Tabla 3,317-01-01-03-01-01,DIFERENCIAL CAMBIARIO TÉCNICO,16305774.78,3653750.13,,,,19959524.91,
Tabla 3,317-01-02-,PÉRDIDA FINANCIERA,4509408.41,775264.27,,3952.22,,5280720.46,
Tabla 3,317-01-02-01-,PÉRDIDA FINANCIERA,4509408.41,775264.27,,3952.22,,5280720.46,
Tabla 3,317-01-02-01-01-,PÉRDIDA FINANCIERA,4509408.41,775264.27,,3952.22,,5280720.46,
Tabla 3,317-01-02-01-01-01,POSICIÓN MONEDA EXTRANJERA,118926.03,29762.6,,,,148688.63,
Tabla 3,317-01-02-01-01-02,DIFERENCIAL CAMBIARIO ADMINISTRATIVO,4390482.38,745501.67,,3952.22,,5132031.83,
Tabla 3,317-02-,DIFERENCIAS EN COBRANZAS,871.02,167258.31,,160620.8,,7508.53,
Tabla 3,317-02-01-,DIFERENCIAS EN COBRANZAS,871.02,167258.31,,160620.8,,7508.53,
Tabla 3,317-02-01-01-,DIFERENCIAS EN COBRANZAS,871.02,167258.31,,160620.8,,7508.53,
Tabla 3,317-02-01-01-01-,DIFERENCIAS EN COBRANZAS,871.02,167258.31,,160620.8,,7508.53,
Tabla 3,317-02-01-01-01-01,DIFERENCIAS EN COBRANZAS,871.02,167258.31,,160620.8,,7508.53,
Tabla 3,317-04-,EGRESOS MICELANEOS,352471.2,,,,,352471.2,
Tabla 3,317-04-01-,EGRESOS MICELANEOS,352471.2,,,,,352471.2,
Tabla 3,317-04-01-01-,EGRESOS MICELANEOS,352471.2,,,,,352471.2,
Tabla 3,317-04-01-01-01-,EGRESOS MICELANEOS,352471.2,,,,,352471.2,
Tabla 3,317-04-01-01-01-02,EFECTOS DE AÑOS ANTERIORES,352471.2,,,,,352471.2,
Tabla 3,401-,RESERVAS TECNICAS,-28057730.33,26756850.86,,29248251.11,,-30549130.58,
Tabla 3,401-02-,RIESGOS EN CURSO,-26756907.98,26756850.86,,28431145.99,,-28431203.11,
Tabla 3,401-02-01-,NEGOCIOS NACIONALES,-26756907.98,26756850.86,,28431145.99,,-28431203.11,
Tabla 3,401-02-01-01-,NEGOCIOS NACIONALES,-26756907.98,26756850.86,,28431145.99,,-28431203.11,
Tabla 3,401-02-01-01-02-,TRANSPORTE,-1198354.32,1198332.12,,1705106.77,,-1705128.97,
Tabla 4,-574800.37,,,,574819.05,428716.8,,,
Tabla 4,Código,Descripción,Saldo Inicial,Debitos,,Créditos,Saldo Actual,,
Tabla 4,401-02-01-01-02-01,FACULTATIVO,-574800.37,574819.05,,428716.8,-428698.12,,
Tabla 4,401-02-01-01-02-03,CONTRATO,-623553.95,623513.07,,1276389.97,-1276430.85,,
Tabla 4,401-02-01-01-03-,INCENDIO,-19885944.04,19886016.45,,21126451.16,-21126378.75,,
Tabla 4,401-02-01-01-03-01,FACULTATIVO,-19259988.91,19260101.6,,20607959.71,-20607847.02,,
Tabla 4,401-02-01-01-03-03,CONTRATO,-625955.13,625914.85,,518491.45,-518531.73,,
Tabla 4,401-02-01-01-04-,ACCIDENTES Y DIVERSOS,-5281260.08,5281146.54,,5247793.03,-5247906.57,,
Tabla 4,401-02-01-01-04-01,FACULTATIVO,-3587695.84,3587691.7,,3722800.25,-3722804.39,,
Tabla 4,401-02-01-01-04-03,CONTRATO,-644040.74,643998.39,,656277.01,-656319.36,,
Tabla 4,401-02-01-01-04-04,CONTRATO NO PROPORCIONAL,-1049523.5,1049456.45,,868715.77,-868782.82,,
Tabla 4,401-02-01-01-05-,FIANZA,-391349.54,391355.75,,351795.03,-351788.82,,
Tabla 4,401-02-01-01-05-01,FACULTATIVO,-378729.72,378736.96,,343571.56,-343564.32,,
Tabla 4,401-02-01-01-05-03,CONTRATO,-12619.82,12618.79,,8223.47,-8224.5,,
Tabla 4,401-04-,SINIESTROS PENDIENTES DE PAGO,-1237257.16,,,803346.42,-2040603.58,,
Tabla 4,401-04-01-,NEGOCIOS NACIONALES,-1237257.16,,,803346.42,-2040603.58,,
Tabla 4,401-04-01-01-,NEGOCIOS NACIONALES,-1237257.16,,,803346.42,-2040603.58,,
Tabla 4,401-04-01-01-03-,INCENDIO,-1226301.35,,,793979.32,-2020280.67,,
Tabla 4,401-04-01-01-03-01,FACULTATIVO,-1226301.35,,,793979.32,-2020280.67,,
Tabla 4,401-04-01-01-04-,ACCIDENTES Y DIVERSOS,-10955.81,,,9367.1,-20322.91,,
Tabla 4,401-04-01-01-04-01,FACULTATIVO,-10955.81,,,9367.1,-20322.91,,
Tabla 4,401-06-,PARA SINIESTROS OCURRIDOS Y NO NOTIFICADOS,-748.67,,,1701.37,-2450.04,,
Tabla 4,401-06-01-,NEGOCIOS NACIONALES,-748.67,,,1701.37,-2450.04,,
Tabla 4,401-06-01-01-,NEGOCIOS NACIONALES,-748.67,,,1701.37,-2450.04,,
Tabla 4,401-06-01-01-03-,INCENDIO,-748.67,,,1701.37,-2450.04,,
Tabla 4,401-06-01-01-03-01,FACULTATIVO,-748.67,,,1701.37,-2450.04,,
Tabla 4,401-07-,PARA RIESGOS CATASTROFICOS,-62816.52,,,12057.33,-74873.85,,
Tabla 4,401-07-07-,OTROS RIESGOS CATASTRÓFICOS,-62816.52,,,12057.33,-74873.85,,
Tabla 4,401-07-07-01-,OTROS RIESGOS CATASTRÓFICOS,-62816.52,,,12057.33,-74873.85,,
Tabla 4,401-07-07-01-01-,OTROS RIESGOS CATASTRÓFICOS,-62816.52,,,12057.33,-74873.85,,
Tabla 4,401-07-07-01-01-01,FACULTATIVO,-60964.83,,,12057.33,-73022.16,,
Tabla 4,401-07-07-01-01-03,CONTRATO,-1851.69,,,,-1851.69,,
Tabla 4,403-,CUENTAS ACREEDORAS POR REASEGUROS,-5347339.92,16702742.27,,18453397.53,-7097995.18,,
Tabla 4,403-01-,CUENTAS CORRIENTES CON REASEGURADAS,,947318.09,,947318.09,,,
Tabla 4,403-01-01-,DEL PAIS,,947318.09,,947318.09,,,
Tabla 4,403-01-01-01-,DEL PAIS,,947318.09,,947318.09,,,
Tabla 4,403-01-01-01-01-,DEL PAIS,,947318.09,,947318.09,,,
Tabla 4,403-01-01-01-01-01,FACULTATIVO,,619587.13,,619587.13,,,
Tabla 4,403-01-01-01-01-03,CONTRATO,,327730.96,,327730.96,,,
Tabla 4,403-02-,CUENTA CORRIENTE CON RETROCESIONARIO,,7881189.29,,7881189.29,,,
Tabla 4,403-02-01-,DEL PAIS,,7881189.29,,7881189.29,,,
